game_date,player_name,p_throws,batter,stand,balls,strikes,pitch_name,launch_speed,description,events,release_speed,inning,turno_numero,cluster
2025-03-18,"Imanaga, Shota",L,606192,R,0,0,4-Seam Fastball,,swinging_strike,,93.1,1,2,11
2025-03-18,"Imanaga, Shota",L,606192,R,0,1,4-Seam Fastball,77.4,foul,,93.7,1,2,6
2025-03-18,"Imanaga, Shota",L,606192,R,0,2,Split-Finger,,swinging_strike,strikeout,84.6,1,2,8
2025-03-18,"Imanaga, Shota",L,669242,R,0,0,Split-Finger,,ball,,83.2,1,3,10
2025-03-18,"Imanaga, Shota",L,669242,R,1,0,Split-Finger,,swinging_strike,,83.1,1,3,10
2025-03-18,"Imanaga, Shota",L,669242,R,1,1,4-Seam Fastball,72.5,hit_into_play,field_out,93.7,1,3,6
2025-03-18,"Imanaga, Shota",L,660271,L,0,0,4-Seam Fastball,,called_strike,,92.5,1,4,11
2025-03-18,"Imanaga, Shota",L,660271,L,0,1,Slider,,ball,,83.1,1,4,0
2025-03-18,"Imanaga, Shota",L,660271,L,1,1,4-Seam Fastball,76.0,hit_into_play,field_out,93.1,1,4,6
2025-03-18,"Imanaga, Shota",L,500743,R,0,0,4-Seam Fastball,,swinging_strike,,92.8,2,2,11
2025-03-18,"Imanaga, Shota",L,500743,R,0,1,Split-Finger,,hit_into_play,field_out,85.1,2,2,0
2025-03-18,"Imanaga, Shota",L,624424,L,0,0,4-Seam Fastball,,swinging_strike,,92.9,2,3,11
2025-03-18,"Imanaga, Shota",L,624424,L,0,1,4-Seam Fastball,,ball,,93.5,2,3,6
2025-03-18,"Imanaga, Shota",L,624424,L,1,1,Sweeper,,called_strike,,80.1,2,3,13
2025-03-18,"Imanaga, Shota",L,624424,L,1,2,Sweeper,71.4,hit_into_play,field_out,82.7,2,3,8
2025-03-18,"Imanaga, Shota",L,571771,R,0,0,Split-Finger,95.7,foul,,83.3,2,4,10
2025-03-18,"Imanaga, Shota",L,571771,R,0,1,4-Seam Fastball,,swinging_strike,,93.6,2,4,6
2025-03-18,"Imanaga, Shota",L,571771,R,0,2,Split-Finger,,ball,,84.2,2,4,8
2025-03-18,"Imanaga, Shota",L,571771,R,0,2,4-Seam Fastball,69.7,foul,,93.5,2,4,1
2025-03-18,"Imanaga, Shota",L,571771,R,1,2,4-Seam Fastball,78.9,hit_into_play,field_out,92.5,2,4,1
2025-03-18,"Imanaga, Shota",L,571970,L,0,0,4-Seam Fastball,68.9,foul,,92.8,2,5,11
2025-03-18,"Imanaga, Shota",L,571970,L,0,1,Sweeper,,ball,,81.7,2,5,0
2025-03-18,"Imanaga, Shota",L,571970,L,1,1,Sweeper,,blocked_ball,,82.0,2,5,13
2025-03-18,"Imanaga, Shota",L,571970,L,2,1,Split-Finger,,called_strike,,83.1,2,5,13
2025-03-18,"Imanaga, Shota",L,571970,L,2,2,4-Seam Fastball,,ball,,93.3,2,5,12
2025-03-18,"Imanaga, Shota",L,571970,L,3,2,4-Seam Fastball,,ball,walk,92.6,2,5,12
2025-03-18,"Imanaga, Shota",L,571970,L,3,2,4-Seam Fastball,67.2,foul,,93.8,2,5,12
2025-03-18,"Imanaga, Shota",L,571970,L,3,2,Split-Finger,83.2,foul,,84.5,2,5,3
2025-03-18,"Imanaga, Shota",L,669257,R,0,0,4-Seam Fastball,,ball,,92.1,2,6,11
2025-03-18,"Imanaga, Shota",L,669257,R,1,0,Split-Finger,,swinging_strike,,82.7,2,6,10
2025-03-18,"Imanaga, Shota",L,669257,R,1,1,Split-Finger,,ball,,83.5,2,6,13
2025-03-18,"Imanaga, Shota",L,669257,R,2,1,Split-Finger,,foul,,82.8,2,6,13
2025-03-18,"Imanaga, Shota",L,669257,R,2,2,Split-Finger,,ball,,84.1,2,6,3
