game_date,total_hits,total_balls,total_strikes,avg_balls,avg_strikes,total_pitches,avg_release_speed,total_atbats
2025-09-02,12,51,61,1.3421052631578947,1.605263157894737,165,93.60249999999999,38
2025-09-03,5,60,63,1.935483870967742,2.032258064516129,158,92.03783783783784,31
2025-09-04,8,46,62,1.3142857142857143,1.7714285714285714,153,93.08333333333333,35
2025-09-05,5,54,63,1.6875,1.96875,152,90.08333333333333,32
2025-09-06,10,41,53,1.1388888888888888,1.4722222222222223,144,89.81351351351351,36
2025-09-07,10,63,61,1.75,1.6944444444444444,170,90.58500000000001,36
2025-09-08,4,48,52,1.7777777777777777,1.9259259259259258,134,94.36875,27
2025-09-09,9,51,45,1.5454545454545454,1.3636363636363635,133,91.09117647058824,33
2025-09-10,14,49,51,1.225,1.275,137,88.29024390243903,40
2025-09-12,4,51,52,1.5454545454545454,1.5757575757575757,139,88.61891891891892,33
2025-09-13,17,67,71,1.5952380952380953,1.6904761904761905,189,89.53958333333333,42
2025-09-14,18,80,71,1.7777777777777777,1.5777777777777777,207,92.91176470588235,45
2025-09-15,9,58,68,1.5263157894736843,1.7894736842105263,156,87.5547619047619,38
2025-09-16,10,41,56,1.1388888888888888,1.5555555555555556,138,92.38108108108108,36
2025-09-17,7,50,54,1.6129032258064515,1.7419354838709677,135,91.43939393939394,31
2025-09-18,5,36,46,1.2413793103448276,1.5862068965517242,116,87.93666666666667,29
2025-09-19,7,41,49,1.3666666666666667,1.6333333333333333,122,90.78125,30
2025-09-20,9,67,64,2.0303030303030303,1.9393939393939394,168,90.9525,33
2025-09-21,7,44,55,1.375,1.71875,127,90.29393939393938,32
2025-09-23,5,47,48,1.46875,1.5,125,89.33529411764707,32
2025-09-24,11,53,66,1.2619047619047619,1.5714285714285714,156,90.34186046511627,42
2025-09-25,11,59,73,1.475,1.825,172,85.85227272727273,40
2025-09-26,6,54,62,1.6875,1.9375,151,92.7,32
2025-09-27,7,56,54,1.696969696969697,1.6363636363636365,146,88.85405405405405,33
2025-09-28,8,47,66,1.3428571428571427,1.8857142857142857,156,89.93783783783783,35
