player,pitcher_type,lam_hit,lam_bb,lam_rbi,p_over_hit,p_over_bb,p_over_rbi,profit_hit,profit_bb,profit_rbi
Andy Pages,L,0.47368421052631576,0.06578947368421052,0.21052631578947367,0.3772961351522499,0.06367203477968686,0.1898422650675733,-296.0,512.0,395.00000000000006
Andy Pages,R,0.7605633802816901,0.1619718309859155,0.49295774647887325,0.5325969728293719,0.14953483903208542,0.3891829223070754,-260.0,512.0,-69.99999999999996
Enrique Hernandez,L,0.3137254901960784,0.13725490196078433,0.3137254901960784,0.26928040967851363,0.12825201246254714,0.26928040967851363,218.0,197.0,-88.0
Enrique Hernandez,R,0.3898305084745763,0.15254237288135594,0.1694915254237288,0.3228283603737945,0.1414774848870124,0.15590609221174656,218.0,710.0,216.0
Max Muncy,L,0.21428571428571427,0.14285714285714285,0.19047619047619047,0.1928822529946107,0.1331221002498184,0.17343456237576194,246.0,647.0,344.0
Max Muncy,R,0.7191011235955056,0.6067415730337079,0.6292134831460674,0.5128100172206296,0.45487577419388026,0.4669891417891704,-580.0,281.0,512.0
Michael Conforto,L,0.3157894736842105,0.15789473684210525,0.02631578947368421,0.2707870474747649,0.14606033437646482,0.02597254657969872,-39.99999999999999,0.9999999999999574,152.00000000000003
Michael Conforto,R,0.46825396825396826,0.3492063492063492,0.23015873015873015,0.3739055046614618,0.2947524120258559,0.2055925039327957,-39.99999999999998,-142.00000000000006,-104.0
Miguel Rojas,L,0.45161290322580644,0.16129032258064516,0.20967741935483872,0.36339945194551604,0.14895504233077428,0.18915423306225687,-296.0,240.00000000000003,216.0
Miguel Rojas,R,0.4533333333333333,0.14666666666666667,0.13333333333333333,0.3644937371043776,0.1364182099584359,0.12482668095705252,-472.0,550.0000000000001,368.0
Shohei Ohtani,L,0.5384615384615384,0.19230769230769232,0.27884615384615385,0.41635452185642596,0.17494703301946402,0.24334369707701775,-244.0,755.0,218.0
Shohei Ohtani,R,0.7744360902255639,0.48872180451127817,0.48872180451127817,0.5390363503714655,0.38659004885946247,0.38659004885946247,-118.0,170.0,218.0
Teoscar Hernandez,L,0.5714285714285714,0.08163265306122448,0.3877551020408163,0.4352818779922407,0.07838955270227521,0.321421494591991,440.0,647.0,512.0
Teoscar Hernandez,R,0.7258064516129032,0.1532258064516129,0.5645161290322581,0.5160658579230873,0.14206402754036196,0.43136477372209225,-196.0,464.0,344.0
Tommy Edman,L,0.4117647058823529,0.058823529411764705,0.29411764705882354,0.33751986460607375,0.05712685614512503,0.2548111829865195,56.0,539.0,134.0000000000001
Tommy Edman,R,0.5647058823529412,0.16470588235294117,0.3411764705882353,0.4314726639079516,0.15185687873368303,0.28906656170619116,56.0,539.0,134.0000000000001
Will Smith,L,0.5111111111111111,0.3111111111111111,0.2,0.40017126795849156,0.26736753226078425,0.18126924692201818,620.0,260.0,512.0
Will Smith,R,0.8125,0.4375,0.5104166666666666,0.5562526899189202,0.35435147357210794,0.39975457555979255,-456.0,260.0,8.0
Freddie Freeman,R,0.8409090909090909,0.2727272727272727,0.5303030303030303,0.5686817623443965,0.23869961330312628,0.4115733684416796,16.0,329.99999999999994,218.0
Freddie Freeman,L,0.47126436781609193,0.13793103448275862,0.1839080459770115,0.3757874651083515,0.12884123041073114,0.16798769281195625,127.99999999999994,709.9999999999999,218.0
Mookie Betts,R,0.7720588235294118,0.29411764705882354,0.4264705882352941,0.5379392132620076,0.2548111829865195,0.3471909344401668,-496.0,372.0,85.00000000000004
Mookie Betts,L,0.47560975609756095,0.18292682926829268,0.21951219512195122,0.37849402615442684,0.16717090777825483,0.19708963395650414,322.99999999999994,960.0,240.00000000000006
Hyeseong Kim,R,0.7608695652173914,0.13043478260869565,0.2608695652173913,0.5327400626880953,0.12228626671781773,0.22961860240785414,-620.0,286.99999999999994,395.00000000000006
Hyeseong Kim,L,0.5,0.0,0.375,0.3934693402873666,0.0,0.31271072120902776,190.0,429.99999999999994,550.0000000000001
Dalton Rushing,R,0.43243243243243246,0.1891891891891892,0.43243243243243246,0.3510713018131538,0.17237008674992926,0.3510713018131538,-336.00000000000006,500.0,143.99999999999994
Dalton Rushing,L,0.2,0.06666666666666667,0.2,0.18126924692201818,0.06449301496838222,0.18126924692201818,161.99999999999994,200.0,143.99999999999994
Alex Freeland,R,0.4444444444444444,0.4444444444444444,0.16666666666666666,0.3588196115700454,0.3588196115700454,0.15351827510938587,44.0,422.00000000000006,36.0
Alex Call,L,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.34075936979955623,0.07995558537067671,0.15351827510938587,204.0,512.0,368.0
Alex Call,R,0.5555555555555556,0.5555555555555556,0.1111111111111111,0.42624657926256726,0.42624657926256726,0.10516068318563021,-140.0,176.0,520.0
Ben Rortvedt,R,0.5,0.16666666666666666,0.0,0.3934693402873666,0.15351827510938587,0.0,-4.000000000000028,350.0,184.0
