game_date,player_name,p_throws,hit,bb,pa,rbi
2025-03-18,Andy Pages,L,0,0,1,0
2025-03-18,Andy Pages,R,0,2,1,0
2025-03-18,Enrique Hernandez,L,0,0,2,0
2025-03-18,Enrique Hernandez,R,0,0,3,0
2025-03-18,Max Muncy,L,0,2,0,0
2025-03-18,Max Muncy,R,0,0,3,0
2025-03-18,Michael Conforto,L,0,0,2,0
2025-03-18,Michael Conforto,R,1,0,2,0
2025-03-18,Miguel Rojas,L,0,0,1,0
2025-03-18,Miguel Rojas,R,1,0,3,0
2025-03-18,Shohei Ohtani,L,0,0,2,0
2025-03-18,Shohei Ohtani,R,2,0,3,0
2025-03-18,Teoscar Hernandez,L,0,1,1,0
2025-03-18,Teoscar Hernandez,R,1,0,3,2
2025-03-18,Tommy Edman,L,0,0,2,0
2025-03-18,Tommy Edman,R,1,0,3,1
2025-03-18,Will Smith,L,0,1,1,0
2025-03-18,Will Smith,R,1,2,1,1
2025-03-19,Andy Pages,L,0,0,1,0
2025-03-19,Andy Pages,R,1,1,2,0
2025-03-19,Enrique Hernandez,L,1,0,3,3
2025-03-19,Enrique Hernandez,R,0,0,1,0
2025-03-19,Max Muncy,L,1,0,3,0
2025-03-19,Max Muncy,R,0,0,1,0
2025-03-19,Michael Conforto,L,1,0,2,0
2025-03-19,Michael Conforto,R,0,1,1,0
2025-03-19,Miguel Rojas,L,0,0,2,0
2025-03-19,Miguel Rojas,R,0,1,1,0
2025-03-19,Shohei Ohtani,L,0,0,2,0
2025-03-19,Shohei Ohtani,R,1,1,1,1
2025-03-19,Teoscar Hernandez,L,0,0,2,0
2025-03-19,Teoscar Hernandez,R,0,0,2,0
2025-03-19,Tommy Edman,L,1,0,2,1
2025-03-19,Tommy Edman,R,0,0,3,0
2025-03-19,Will Smith,L,1,1,2,0
2025-03-19,Will Smith,R,0,1,0,0
2025-03-23,Andy Pages,L,0,0,1,1
2025-03-23,Andy Pages,R,1,1,2,0
2025-03-23,Enrique Hernandez,R,1,1,1,0
2025-03-23,Freddie Freeman,R,0,0,2,0
2025-03-23,Max Muncy,R,1,0,2,1
2025-03-23,Michael Conforto,R,0,0,3,0
2025-03-23,Miguel Rojas,R,1,0,2,0
2025-03-23,Shohei Ohtani,R,0,1,1,0
2025-03-23,Teoscar Hernandez,R,0,0,3,0
2025-03-23,Tommy Edman,R,1,0,3,0
2025-03-23,Will Smith,R,0,0,2,0
2025-03-24,Andy Pages,R,0,0,2,0
2025-03-24,Enrique Hernandez,L,0,0,2,0
2025-03-24,Enrique Hernandez,R,0,0,1,0
2025-03-24,Freddie Freeman,L,0,0,2,0
