player_name,p_throws,games,hits_total,pa_total,bb_total,rbi_total,hit_rate_per_pa,bb_rate_per_pa,rbi_rate_per_pa,avg_pa_game,prob_hit_game,prob_bb_game,prob_rbi_game,odds_over_hit,odds_under_hit,p_over_hit,p_under_hit,value_hit_over,value_hit_under,odds_over_bb,odds_under_bb,p_over_bb,p_under_bb,value_bb_over,value_bb_under,odds_over_rbi,odds_under_rbi,p_over_rbi,p_under_rbi,value_rbi_over,value_rbi_under
Alex Call,L,22,8,36,2,4,0.2222222222222222,0.05555555555555555,0.1111111111111111,1.6363636363636365,0.3371733537793967,0.08929108011568743,0.17530023205883682,1.53,1.72,0.6535947712418301,0.5813953488372093,False,True,2.15,1.68,0.46511627906976744,0.5952380952380952,False,True,2.4,1.52,0.4166666666666667,0.6578947368421053,False,True
Alex Call,R,19,10,40,8,1,0.25,0.2,0.025,2.1052631578947367,0.45427847909374464,0.37485765145313876,0.05190507358216556,1.53,1.72,0.6535947712418301,0.5813953488372093,False,False,2.15,1.68,0.46511627906976744,0.5952380952380952,False,True,2.4,1.52,0.4166666666666667,0.6578947368421053,False,True
Alex Freeland,L,9,2,14,2,0,0.14285714285714285,0.14285714285714285,0.0,1.5555555555555556,0.21320688756254713,0.21320688756254713,0.0,1.78,1.74,0.5617977528089888,0.5747126436781609,False,True,2.4,1.58,0.4166666666666667,0.6329113924050632,False,True,2.5,1.48,0.4,0.6756756756756757,False,True
Alex Freeland,R,28,14,71,9,6,0.19718309859154928,0.1267605633802817,0.08450704225352113,2.5357142857142856,0.42702626551730516,0.2908616520737781,0.20059279941790964,1.78,1.74,0.5617977528089888,0.5747126436781609,False,False,2.4,1.58,0.4166666666666667,0.6329113924050632,False,True,2.5,1.48,0.4,0.6756756756756757,False,True
Andy Pages,L,86,46,149,6,17,0.3087248322147651,0.040268456375838924,0.11409395973154363,1.7325581395348837,0.4725443373779423,0.0687346654169001,0.18932633148068,1.48,1.76,0.6756756756756757,0.5681818181818182,False,False,2.15,1.68,0.46511627906976744,0.5952380952380952,False,True,2.3,1.55,0.4347826086956522,0.6451612903225806,False,True
Andy Pages,R,152,113,447,24,75,0.25279642058165547,0.053691275167785234,0.16778523489932887,2.9407894736842106,0.575565598056422,0.14980677345962834,0.4173212857861073,1.48,1.76,0.6756756756756757,0.5681818181818182,False,False,2.15,1.68,0.46511627906976744,0.5952380952380952,False,True,2.3,1.55,0.4347826086956522,0.6451612903225806,False,False
Ben Rortvedt,L,10,3,15,2,1,0.2,0.13333333333333333,0.06666666666666667,1.5,0.2844582472000672,0.19317724191557228,0.09831433579265714,1.83,1.66,0.5464480874316939,0.6024096385542169,False,True,2.5,1.5,0.4,0.6666666666666666,False,True,2.5,1.48,0.4,0.6756756756756757,False,True
Ben Rortvedt,R,16,8,37,2,3,0.21621621621621623,0.05405405405405406,0.08108108108108109,2.3125,0.4307161241244113,0.12059108157250509,0.1776086972728924,1.83,1.66,0.5464480874316939,0.6024096385542169,False,False,2.5,1.5,0.4,0.6666666666666666,False,True,2.5,1.48,0.4,0.6756756756756757,False,True
Dalton Rushing,L,25,6,37,3,6,0.16216216216216217,0.08108108108108109,0.16216216216216217,1.48,0.23037927319601326,0.11763099220154283,0.23037927319601326,1.84,1.66,0.5434782608695652,0.6024096385542169,False,True,2.5,1.5,0.4,0.6666666666666666,False,True,2.6,1.43,0.3846153846153846,0.6993006993006994,False,True
Dalton Rushing,R,47,23,107,7,19,0.21495327102803738,0.06542056074766354,0.17757009345794392,2.276595744680851,0.4236058536546973,0.14275488936907055,0.35921180188040636,1.84,1.66,0.5434782608695652,0.6024096385542169,False,False,2.5,1.5,0.4,0.6666666666666666,False,True,2.6,1.43,0.3846153846153846,0.6993006993006994,False,False
