Player,Pitcher Type,Hit,Walk,RBI
Andy Pages,L,"λ_hit=0.474, p_over_hit=0.377, profit=-296.0 → Under","λ_bb=0.066, p_over_bb=0.064, profit=512.0 → Over","λ_rbi=0.211, p_over_rbi=0.190, profit=395.00000000000006 → Over"
Andy Pages,R,"λ_hit=0.761, p_over_hit=0.533, profit=-260.0 → Under","λ_bb=0.162, p_over_bb=0.150, profit=512.0 → Over","λ_rbi=0.493, p_over_rbi=0.389, profit=-69.99999999999996 → Under"
Enrique Hernandez,L,"λ_hit=0.314, p_over_hit=0.269, profit=218.0 → Over","λ_bb=0.137, p_over_bb=0.128, profit=197.0 → Over","λ_rbi=0.314, p_over_rbi=0.269, profit=-88.0 → Under"
Enrique Hernandez,R,"λ_hit=0.390, p_over_hit=0.323, profit=218.0 → Over","λ_bb=0.153, p_over_bb=0.141, profit=710.0 → Over","λ_rbi=0.169, p_over_rbi=0.156, profit=216.0 → Over"
Max Muncy,L,"λ_hit=0.214, p_over_hit=0.193, profit=246.0 → Over","λ_bb=0.143, p_over_bb=0.133, profit=647.0 → Over","λ_rbi=0.190, p_over_rbi=0.173, profit=344.0 → Over"
Max Muncy,R,"λ_hit=0.719, p_over_hit=0.513, profit=-580.0 → Under","λ_bb=0.607, p_over_bb=0.455, profit=281.0 → Over","λ_rbi=0.629, p_over_rbi=0.467, profit=512.0 → Over"
Michael Conforto,L,"λ_hit=0.316, p_over_hit=0.271, profit=-39.99999999999999 → Under","λ_bb=0.158, p_over_bb=0.146, profit=0.9999999999999574 → Over","λ_rbi=0.026, p_over_rbi=0.026, profit=152.00000000000003 → Over"
Michael Conforto,R,"λ_hit=0.468, p_over_hit=0.374, profit=-39.99999999999998 → Under","λ_bb=0.349, p_over_bb=0.295, profit=-142.00000000000006 → Under","λ_rbi=0.230, p_over_rbi=0.206, profit=-104.0 → Under"
Miguel Rojas,L,"λ_hit=0.452, p_over_hit=0.363, profit=-296.0 → Under","λ_bb=0.161, p_over_bb=0.149, profit=240.00000000000003 → Over","λ_rbi=0.210, p_over_rbi=0.189, profit=216.0 → Over"
Miguel Rojas,R,"λ_hit=0.453, p_over_hit=0.364, profit=-472.0 → Under","λ_bb=0.147, p_over_bb=0.136, profit=550.0000000000001 → Over","λ_rbi=0.133, p_over_rbi=0.125, profit=368.0 → Over"
Shohei Ohtani,L,"λ_hit=0.538, p_over_hit=0.416, profit=-244.0 → Under","λ_bb=0.192, p_over_bb=0.175, profit=755.0 → Over","λ_rbi=0.279, p_over_rbi=0.243, profit=218.0 → Over"
Shohei Ohtani,R,"λ_hit=0.774, p_over_hit=0.539, profit=-118.0 → Under","λ_bb=0.489, p_over_bb=0.387, profit=170.0 → Over","λ_rbi=0.489, p_over_rbi=0.387, profit=218.0 → Over"
Teoscar Hernandez,L,"λ_hit=0.571, p_over_hit=0.435, profit=440.0 → Over","λ_bb=0.082, p_over_bb=0.078, profit=647.0 → Over","λ_rbi=0.388, p_over_rbi=0.321, profit=512.0 → Over"
Teoscar Hernandez,R,"λ_hit=0.726, p_over_hit=0.516, profit=-196.0 → Under","λ_bb=0.153, p_over_bb=0.142, profit=464.0 → Over","λ_rbi=0.565, p_over_rbi=0.431, profit=344.0 → Over"
Tommy Edman,L,"λ_hit=0.412, p_over_hit=0.338, profit=56.0 → Over","λ_bb=0.059, p_over_bb=0.057, profit=539.0 → Over","λ_rbi=0.294, p_over_rbi=0.255, profit=134.0000000000001 → Over"
Tommy Edman,R,"λ_hit=0.565, p_over_hit=0.431, profit=56.0 → Over","λ_bb=0.165, p_over_bb=0.152, profit=539.0 → Over","λ_rbi=0.341, p_over_rbi=0.289, profit=134.0000000000001 → Over"
Will Smith,L,"λ_hit=0.511, p_over_hit=0.400, profit=620.0 → Over","λ_bb=0.311, p_over_bb=0.267, profit=260.0 → Over","λ_rbi=0.200, p_over_rbi=0.181, profit=512.0 → Over"
Will Smith,R,"λ_hit=0.812, p_over_hit=0.556, profit=-456.0 → Under","λ_bb=0.438, p_over_bb=0.354, profit=260.0 → Over","λ_rbi=0.510, p_over_rbi=0.400, profit=8.0 → Over"
Freddie Freeman,R,"λ_hit=0.841, p_over_hit=0.569, profit=16.0 → Over","λ_bb=0.273, p_over_bb=0.239, profit=329.99999999999994 → Over","λ_rbi=0.530, p_over_rbi=0.412, profit=218.0 → Over"
Freddie Freeman,L,"λ_hit=0.471, p_over_hit=0.376, profit=127.99999999999994 → Over","λ_bb=0.138, p_over_bb=0.129, profit=709.9999999999999 → Over","λ_rbi=0.184, p_over_rbi=0.168, profit=218.0 → Over"
Mookie Betts,R,"λ_hit=0.772, p_over_hit=0.538, profit=-496.0 → Under","λ_bb=0.294, p_over_bb=0.255, profit=372.0 → Over","λ_rbi=0.426, p_over_rbi=0.347, profit=85.00000000000004 → Over"
Mookie Betts,L,"λ_hit=0.476, p_over_hit=0.378, profit=322.99999999999994 → Over","λ_bb=0.183, p_over_bb=0.167, profit=960.0 → Over","λ_rbi=0.220, p_over_rbi=0.197, profit=240.00000000000009 → Over"
Hyeseong Kim,R,"λ_hit=0.761, p_over_hit=0.533, profit=-620.0 → Under","λ_bb=0.130, p_over_bb=0.122, profit=286.99999999999994 → Over","λ_rbi=0.261, p_over_rbi=0.230, profit=395.00000000000006 → Over"
Hyeseong Kim,L,"λ_hit=0.500, p_over_hit=0.393, profit=190.0 → Over","λ_bb=0.000, p_over_bb=0.000, profit=429.99999999999994 → Over","λ_rbi=0.375, p_over_rbi=0.313, profit=550.0000000000001 → Over"
Dalton Rushing,R,"λ_hit=0.432, p_over_hit=0.351, profit=-336.00000000000006 → Under","λ_bb=0.189, p_over_bb=0.172, profit=500.0 → Over","λ_rbi=0.432, p_over_rbi=0.351, profit=143.99999999999994 → Over"
Dalton Rushing,L,"λ_hit=0.200, p_over_hit=0.181, profit=161.99999999999994 → Over","λ_bb=0.067, p_over_bb=0.064, profit=200.0 → Over","λ_rbi=0.200, p_over_rbi=0.181, profit=143.99999999999994 → Over"
Alex Freeland,R,"λ_hit=0.444, p_over_hit=0.359, profit=44.0 → Over","λ_bb=0.444, p_over_bb=0.359, profit=422.00000000000006 → Over","λ_rbi=0.167, p_over_rbi=0.154, profit=36.0 → Over"
Alex Call,L,"λ_hit=0.417, p_over_hit=0.341, profit=204.0 → Over","λ_bb=0.083, p_over_bb=0.080, profit=512.0 → Over","λ_rbi=0.167, p_over_rbi=0.154, profit=368.0 → Over"
Alex Call,R,"λ_hit=0.556, p_over_hit=0.426, profit=-140.0 → Under","λ_bb=0.556, p_over_bb=0.426, profit=176.0 → Over","λ_rbi=0.111, p_over_rbi=0.105, profit=520.0 → Over"
Ben Rortvedt,R,"λ_hit=0.500, p_over_hit=0.393, profit=-4.000000000000028 → Under","λ_bb=0.167, p_over_bb=0.154, profit=350.0 → Over","λ_rbi=0.000, p_over_rbi=0.000, profit=184.0 → Over"
